,Unai Simón Mendibil,Sergio Busquets i Burgos,Rodrigo Hernández Cascante,Aymeric Laporte,Nicholas Williams Arthuer,Pedro González López,Alejandro Balde Martínez,Carlos Soler Barragán,Daniel Olmo Carvajal,Pablo Martín Páez Gavira,Jordi Alba Ramos,Ferrán Torres García,Marcos Llorente Moreno
Romain Saïss,0,0,0,0,1,0,0,0,0,0,1,0,1
Noussair Mazraoui,0,0,1,0,0,0,0,0,0,0,0,0,0
Abdessamad Ezzalzouli,0,0,1,0,0,0,0,1,0,0,0,0,0
Youssef En-Nesyri,0,0,0,1,0,1,0,0,0,0,0,0,0
Sofiane Boufal,1,3,0,0,0,0,0,0,0,0,0,1,0
Yahia Attiyat allah,0,0,0,1,0,0,0,0,0,0,0,0,0
Achraf Hakimi Mouh,0,0,2,0,0,2,0,0,3,1,0,0,0
Azzedine Ounahi,0,0,0,0,0,1,1,0,0,0,0,0,1
Nayef Aguerd,1,0,0,0,0,0,0,0,0,0,1,0,0
Abdelhamid Sabiri,0,0,1,0,0,0,0,0,0,0,0,0,0
Sofyan Amrabat,0,0,1,0,0,1,0,0,0,0,0,0,0
Hakim Ziyech,0,0,0,0,0,1,0,0,0,1,1,0,1
